episode_overall,viewers_millions
1,1.41[4]
2,1.49[5]
3,1.08[6]
4,1.09[7]
5,0.97[a]
6,1.07[8]
7,1.50[9]
8,1.66[10]
9,1.60[11]
10,1.13[12]
11,1.29[13]
12,1.21[14]
13,1.41[15]
14,1.20[16]
15,1.04[17]
16,1.27[18]
17,1.19[19]
18,1.29[20]
19,1.19[21]
20,1.50[22]
21,1.95[23]
22,1.55[23]
23,1.33[23]
24,1.46[23]
25,1.61[23]
26,1.64[23]
27,1.52[23]
28,1.78[23]
29,1.61[23]
30,1.20[23]
31,1.32[23]
32,1.19[23]
33,1.56[24]
34,2.58[25]
35,1.97[26]
36,1.71[27]
37,1.83[28]
38,1.75[29]
39,1.67[30]
40,1.91[31]
41,1.98[32]
42,1.89[33]
43,1.80[34]
44,1.55[35]
45,1.73[36]
46,1.90[37]
Part One,Part One
47,2.93[38]
48,2.29[39]
49,2.20[40]
50,2.29[41]
51,2.48[42]
52,2.81[43]
53,2.98[44]
54,2.78[45]
Part Two,Part Two
55,5.92[46]
56,4.77[47]
57,4.85[48]
58,4.41[49]
59,5.11[50]
60,6.37[51]
61,6.58[52]
62,10.28[53]
El Camino: A Breaking Bad Movie,2.65[b]
